courier_id,pincode,rto_rate_90d,rto_rate_30d,rto_rate_7d,avg_delivery_days,ndr_rate,trend,total_orders,successful_orders,rto_orders,data_quality,data_age_days,rto_rate,recent_change
C01,560001,0.0599,0.0547,0.0428,2.64,0.1052,STABLE,23.0,21.0,2.0,,,0.08695652173913043,-0.0119
C01,560002,0.0816,0.0873,0.0826,2.46,0.1436,STABLE,26.0,26.0,0.0,,,0.0,-0.004699999999999996
C01,560003,0.0718,0.0667,0.0728,2.71,0.1104,STABLE,35.0,32.0,3.0,,,0.08571428571428572,0.006100000000000008
C01,560004,0.06,0.06,0.05,2.64,0.1052,STABLE,12.0,11.0,1.0,,,0.08333333333333333,-0.009999999999999995
C01,560005,0.0512,0.0605,0.0461,3.62,0.1052,STABLE,44.0,39.0,5.0,,,0.11363636363636363,-0.014399999999999996
C01,560006,0.0908,0.1077,0.1327,3.34,0.1037,STABLE,36.0,32.0,4.0,,,0.1111111111111111,0.02500000000000001
C01,560007,0.0422,0.0432,0.0343,2.58,0.1294,STABLE,31.0,30.0,1.0,,,0.03225806451612903,-0.008900000000000005
C01,560008,0.0815,0.102,0.1177,2.49,0.1406,STABLE,31.0,31.0,0.0,,,0.0,0.015700000000000006
C01,560009,0.0619,0.0575,0.0692,3.22,0.1225,STABLE,29.0,26.0,3.0,,,0.10344827586206896,0.011699999999999995
C01,560010,0.041,0.0474,0.031,2.57,0.105,STABLE,33.0,32.0,1.0,,,0.030303030303030304,-0.016399999999999998
C01,560011,0.0641,0.0622,0.0552,2.84,0.1366,STABLE,30.0,29.0,1.0,,,0.03333333333333333,-0.006999999999999999
C01,560012,0.06,0.06,0.06,2.64,0.1052,STABLE,6.0,6.0,0.0,,,0.0,0.0
C01,560013,0.0714,0.0777,0.1023,3.53,0.1337,STABLE,17.0,17.0,0.0,,,0.0,0.024599999999999997
C01,560014,0.0938,0.0899,0.0862,3.73,0.1263,STABLE,30.0,29.0,1.0,,,0.03333333333333333,-0.003699999999999995
C01,560015,0.0425,0.0568,0.0802,2.92,0.1316,STABLE,25.0,22.0,3.0,,,0.12,0.02339999999999999
C01,560016,0.061,0.0685,0.0904,2.62,0.1308,STABLE,32.0,30.0,2.0,,,0.0625,0.02189999999999999
C01,560017,0.0815,0.0917,0.0948,3.18,0.1213,STABLE,30.0,26.0,4.0,,,0.13333333333333333,0.0030999999999999917
C01,560068,0.08,0.11,0.22,3.84,0.1752,DETERIORATING,10.0,8.0,2.0,,,0.2,0.11
C01,560076,0.0919,0.0804,0.0669,3.68,0.1552,STABLE,38.0,37.0,1.0,,,0.02631578947368421,-0.013499999999999998
C01,560100,0.0389,0.0481,0.071,3.83,0.1356,STABLE,35.0,32.0,3.0,,,0.08571428571428572,0.022899999999999997
C02,560001,0.0624,0.0737,0.058,2.68,0.0842,STABLE,27.0,24.0,3.0,,,0.1111111111111111,-0.0157
C02,560002,0.0813,0.0649,0.051,2.51,0.1227,STABLE,35.0,33.0,2.0,,,0.05714285714285714,-0.013900000000000003
C02,560003,0.0912,0.0884,0.1101,2.76,0.0894,STABLE,18.0,16.0,2.0,,,0.1111111111111111,0.021699999999999997
