customer_id,account_age_days,previous_orders,successful_orders,previous_rto,previous_cod_orders,successful_cod_orders,failed_cod_orders,previous_cancellations,phone_verified,address_verified,customer_type
CUST-001,561,28,27,0,9,9,0,1,True,True,LOYAL
CUST-002,924,15,15,0,6,6,0,0,True,True,LOYAL
CUST-003,536,9,9,0,3,3,0,0,True,True,LOYAL
CUST-004,511,24,23,0,14,14,0,1,True,True,LOYAL
CUST-005,925,22,21,1,7,6,1,0,True,True,LOYAL
CUST-006,749,18,17,1,8,7,1,0,True,True,LOYAL
CUST-007,795,11,11,0,9,9,0,0,True,True,LOYAL
CUST-008,1000,19,18,1,18,17,1,0,True,True,LOYAL
CUST-009,1190,25,25,0,20,20,0,0,True,True,LOYAL
CUST-010,202,17,16,1,14,13,1,0,True,True,LOYAL
CUST-011,223,9,8,0,9,9,0,1,True,True,LOYAL
CUST-012,988,15,14,0,11,11,0,1,True,True,LOYAL
CUST-013,787,28,26,1,14,13,1,1,True,True,LOYAL
CUST-014,410,14,13,1,14,13,1,0,True,True,LOYAL
CUST-015,837,25,24,0,13,13,0,1,True,True,LOYAL
CUST-016,529,8,1,3,6,3,3,3,False,False,RISKY
CUST-017,704,2,0,2,2,0,2,3,True,False,RISKY
CUST-018,1163,5,0,2,4,2,2,4,True,True,RISKY
CUST-019,343,6,0,3,5,2,3,4,True,False,RISKY
CUST-020,387,10,4,5,2,0,5,1,False,True,RISKY
CUST-021,1018,12,6,5,10,5,5,1,True,True,RISKY
CUST-022,1159,10,5,4,9,5,4,1,False,True,RISKY
CUST-023,599,6,0,3,1,0,3,3,True,True,RISKY
CUST-024,1099,10,6,3,9,6,3,1,False,True,RISKY
CUST-025,1146,11,5,3,3,0,3,3,False,True,RISKY
CUST-026,28,0,0,0,0,0,0,0,True,True,NEW
CUST-027,10,1,1,0,0,0,0,0,True,False,NEW
CUST-028,39,0,0,0,0,0,0,0,False,False,NEW
CUST-029,15,0,0,0,0,0,0,0,True,False,NEW
CUST-030,17,1,1,0,1,1,0,0,False,False,NEW
CUST-031,28,2,2,0,1,1,0,0,True,True,NEW
CUST-032,26,1,1,0,1,1,0,0,True,True,NEW
CUST-033,8,0,0,0,0,0,0,0,True,True,NEW
CUST-034,9,0,0,0,0,0,0,0,False,False,NEW
