attempt_id,order_id,attempt_number,attempt_date,attempt_status,failure_reason,customer_contacted,rescheduled,delivery_agent_note
ATT-00001,ORD-10000,1,2026-08-02,DELIVERED,,True,False,Delivered successfully
ATT-00002,ORD-10001,1,2026-06-15,FAILED,CUSTOMER_RESCHEDULED,True,True,Delivery attempt unsuccessful
ATT-00003,ORD-10001,2,2026-06-15,FAILED,CUSTOMER_REFUSED,True,False,Delivery attempt unsuccessful
ATT-00004,ORD-10002,1,2026-07-13,DELIVERED,,True,False,Delivered successfully
ATT-00005,ORD-10003,1,2026-06-14,DELIVERED,,True,False,Delivered successfully
ATT-00006,ORD-10004,1,2026-08-21,DELIVERED,,True,False,Delivered successfully
ATT-00007,ORD-10005,1,2026-07-16,DELIVERED,,True,False,Delivered successfully
ATT-00008,ORD-10006,1,2026-06-06,DELIVERED,,True,False,Delivered successfully
ATT-00009,ORD-10007,1,2026-07-10,DELIVERED,,True,False,Delivered successfully
ATT-00010,ORD-10008,1,2026-06-22,DELIVERED,,True,False,Delivered successfully
ATT-00011,ORD-10009,1,2026-08-22,DELIVERED,,True,False,Delivered successfully
ATT-00012,ORD-10010,1,2026-07-06,DELIVERED,,True,False,Delivered successfully
ATT-00013,ORD-10011,1,2026-07-30,DELIVERED,,True,False,Delivered successfully
ATT-00014,ORD-10012,1,2026-06-25,DELIVERED,,True,False,Delivered successfully
ATT-00015,ORD-10013,1,2026-06-05,DELIVERED,,True,False,Delivered successfully
ATT-00016,ORD-10014,1,2026-08-11,DELIVERED,,True,False,Delivered successfully
ATT-00017,ORD-10015,1,2026-07-14,DELIVERED,,True,False,Delivered successfully
ATT-00018,ORD-10016,1,2026-07-08,DELIVERED,,True,False,Delivered successfully
ATT-00019,ORD-10017,1,2026-07-04,DELIVERED,,True,False,Delivered successfully
ATT-00020,ORD-10018,1,2026-06-23,DELIVERED,,True,False,Delivered successfully
ATT-00021,ORD-10019,1,2026-08-24,DELIVERED,,True,False,Delivered successfully
