case_id,order_id,customer_type,customer_profile,pincode,courier,order_value,signals,counter_evidence,decision,actual_outcome,reason,root_cause
CASE-1801,ORD-11801,LOYAL,30 previous orders; 0 RTO; 22 successful COD,560011,C07,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1802,ORD-11190,LOYAL,29 previous orders; 0 RTO; 13 successful COD,560013,C04,1499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1803,ORD-11817,NEW,2 previous orders; 0 RTO; 2 successful COD,560002,C03,1999,HIGH_PINCODE_RTO,ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1804,ORD-10251,LOYAL,15 previous orders; 1 RTO; 13 successful COD,560014,C02,599,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1806,ORD-11117,LOYAL,25 previous orders; 0 RTO; 19 successful COD,560010,C04,1499,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1807,ORD-11411,LOYAL,25 previous orders; 1 RTO; 23 successful COD,560012,C03,599,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1808,ORD-12113,LOYAL,30 previous orders; 0 RTO; 27 successful COD,560014,C01,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1809,ORD-10408,ATYPICAL_LEGITIMATE,7 previous orders; 2 RTO; 2 successful COD,560010,C03,1299,CUSTOMER_RTO_HISTORY,ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,CUSTOMER_BEHAVIOUR
CASE-1810,ORD-12579,LOYAL,24 previous orders; 0 RTO; 14 successful COD,560012,C07,3999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1811,ORD-12254,NORMAL,3 previous orders; 1 RTO; 0 successful COD,560004,C01,599,ADDRESS_NOT_VERIFIED,PHONE_VERIFIED,ESCALATE,DELIVERED,Evidence was incomplete or conflicting and required human judgement.,OPERATIONAL
CASE-1812,ORD-10052,LOYAL,30 previous orders; 1 RTO; 10 successful COD,560005,C01,1999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1813,ORD-10644,LOYAL,25 previous orders; 0 RTO; 19 successful COD,560013,C04,2999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1814,ORD-11763,LOYAL,25 previous orders; 0 RTO; 13 successful COD,560003,C01,4999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1815,ORD-12776,LOYAL,19 previous orders; 1 RTO; 17 successful COD,560012,C07,799,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1816,ORD-10900,LOYAL,11 previous orders; 0 RTO; 9 successful COD,560011,C03,599,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1817,ORD-11073,LOYAL,30 previous orders; 0 RTO; 27 successful COD,560010,C03,399,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1818,ORD-10472,LOYAL,24 previous orders; 0 RTO; 14 successful COD,560076,C01,1999,HIGH_PINCODE_RTO,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
CASE-1819,ORD-12738,LOYAL,9 previous orders; 0 RTO; 8 successful COD,560004,C02,999,NO_STRONG_RISK_SIGNAL,SUCCESSFUL_COD_HISTORY | ADDRESS_VERIFIED | PHONE_VERIFIED,RELEASE,DELIVERED,Historical investigation found sufficient evidence supporting delivery.,OPERATIONAL
