pincode,baseline_rto_rate,rto_rate_90d,rto_rate_30d,rto_rate_7d,avg_delivery_days,ndr_rate,trend,total_orders,total_cod_orders,successful_deliveries,rto_orders,rto_rate,recent_change
560001,0.045,0.045,0.047,0.05,2.4,0.07,STABLE,134.0,134.0,126.0,8.0,0.05970149253731343,0.0030000000000000027
560002,0.0913,0.0913,0.1071,0.1028,2.06,0.147,STABLE,135.0,135.0,131.0,4.0,0.02962962962962963,-0.004299999999999998
560003,0.0891,0.0891,0.0833,0.0812,2.55,0.0804,STABLE,160.0,160.0,151.0,9.0,0.05625,-0.0021000000000000046
560004,0.045,0.045,0.047,0.05,2.4,0.07,STABLE,162.0,162.0,144.0,18.0,0.1111111111111111,0.0030000000000000027
560005,0.054,0.054,0.047,0.0219,4.36,0.07,STABLE,178.0,178.0,164.0,14.0,0.07865168539325842,-0.0251
560006,0.0684,0.0684,0.063,0.0701,3.82,0.0671,STABLE,147.0,147.0,128.0,19.0,0.1292517006802721,0.007099999999999995
560007,0.0392,0.0392,0.0332,0.0534,2.29,0.1184,STABLE,141.0,141.0,136.0,5.0,0.03546099290780142,0.020200000000000003
560008,0.0636,0.0636,0.0635,0.0477,2.1,0.1409,STABLE,143.0,143.0,135.0,8.0,0.055944055944055944,-0.0158
560009,0.0518,0.0518,0.0392,0.0682,3.56,0.1047,STABLE,156.0,156.0,145.0,11.0,0.07051282051282051,0.028999999999999998
560010,0.047,0.047,0.0544,0.0496,2.27,0.0696,STABLE,156.0,156.0,149.0,7.0,0.04487179487179487,-0.004799999999999999
560011,0.0379,0.0379,0.0278,0.0142,2.81,0.1329,STABLE,159.0,159.0,155.0,4.0,0.025157232704402517,-0.013599999999999998
560012,0.045,0.045,0.047,0.05,2.4,0.07,STABLE,150.0,150.0,138.0,12.0,0.08,0.0030000000000000027
560013,0.0398,0.0398,0.0457,0.0532,4.19,0.1271,STABLE,149.0,149.0,140.0,9.0,0.06040268456375839,0.0075
560014,0.0398,0.0398,0.0314,0.0352,4.59,0.1123,STABLE,143.0,143.0,133.0,10.0,0.06993006993006994,0.0038000000000000048
560015,0.0565,0.0565,0.0547,0.0504,2.98,0.123,STABLE,128.0,128.0,123.0,5.0,0.0390625,-0.004299999999999998
560016,0.0764,0.0764,0.0757,0.0915,2.36,0.1213,STABLE,148.0,148.0,137.0,11.0,0.07432432432432433,0.015799999999999995
560017,0.0845,0.0845,0.0994,0.0895,3.48,0.1023,STABLE,160.0,160.0,145.0,15.0,0.09375,-0.009900000000000006
560068,0.07,0.07,0.11,0.24,4.8,0.21,DETERIORATING,152.0,152.0,145.0,7.0,0.046052631578947366,0.13
560076,0.09,0.09,0.105,0.13,4.5,0.17,SLIGHTLY_DETERIORATING,161.0,161.0,156.0,5.0,0.031055900621118012,0.02500000000000001
560100,0.04,0.04,0.0319,0.0325,4.79,0.1308,STABLE,138.0,138.0,124.0,14.0,0.10144927536231885,0.0006000000000000033
